timestamp_s,programName,programStatus,partTimeInCycle,cuttingTime,operatingTime,totalCycleTimeNet,activeBlock,activeLineNumber,partsMadeForProgram,partsRequiredForProgram,totalParts,spindleName,spindleTemp,spindleOpMode,spindlePsModePos,spindleSpeedDemand,spindleActualSpeed,spindleTurnState,spindleAngularPositionDemand,spindleSpeedLimit,spindleSpeedOverride,spindleDriveLoad,spindleConstCutRate,coolantTemp,activeToolNumber,activeToolID,activeToolLength1,activeToolLength2,activeToolLength3,activeToolRadius,axisXName,axisXStatus,axisXPositionToGo,axisXPosition,axisXAcceleration,axisXAccelerationPC,axisXDrivePower,axisXFeedRate,axisYName,axisYStatus,axisYPositionToGo,axisYPosition,axisYAcceleration,axisYAccelerationPC,axisYDrivePower,axisYFeedRate,axisZName,axisZStatus,axisZPositionToGo,axisZPosition,axisZAcceleration,axisZAccelerationPC,axisZDrivePower,axisZFeedRate,axisCName,axisCStatus,axisCPositionToGo,axisCPosition,axisCAcceleration,axisCAccelerationPC,axisCDrivePower,axisCFeedRate,axisAName,axisAStatus,axisAPositionToGo,axisAPosition,axisAAcceleration,axisAAccelerationPC,axisADrivePower,axisAFeedRate
0.0,O0000,2,0.0,0.0,0.0,0.0,,0,0,1,58,S1,25.0,0,0,0,0,2,0,8000,100,2,0,19,0,,0.0,0.0,0.0,0.0,X,3,0,0,0,0,0,0.0,Y,3,0,0,0,0,1,0.0,Z,3,0,0,0,0,1,0.0,C,3,0,0,0,0,0,0.0,A,3,0,0,0,0,0,0.0
0.1,O0000,2,0.0,0.0,0.0,0.0,,0,0,1,58,S1,25.0,0,0,0,0,2,0,8000,100,0,0,19,0,,0.0,0.0,0.0,0.0,X,3,0,0,0,0,2,0.0,Y,3,0,0,0,0,1,0.0,Z,3,0,0,0,0,0,0.0,C,3,0,0,0,0,0,0.0,A,3,0,0,0,0,0,0.0
0.2,O0000,2,0.0,0.0,0.0,0.0,,0,0,1,58,S1,25.0,0,0,0,0,2,0,8000,100,1,0,19,0,,0.0,0.0,0.0,0.0,X,3,0,0,0,0,1,0.0,Y,3,0,0,0,0,0,0.0,Z,3,0,0,0,0,1,0.0,C,3,0,0,0,0,2,0.0,A,3,0,0,0,0,1,0.0
0.3,O0000,2,0.0,0.0,0.0,0.0,,0,0,1,58,S1,25.0,0,0,0,0,2,0,8000,100,0,0,19,0,,0.0,0.0,0.0,0.0,X,3,0,0,0,0,0,0.0,Y,3,0,0,0,0,1,0.0,Z,3,0,0,0,0,2,0.0,C,3,0,0,0,0,2,0.0,A,3,0,0,0,0,0,0.0
0.4,O0000,2,0.0,0.0,0.0,0.0,,0,0,1,58,S1,25.0,0,0,0,0,2,0,8000,100,1,0,19,0,,0.0,0.0,0.0,0.0,X,3,0,0,0,0,2,0.0,Y,3,0,0,0,0,1,0.0,Z,3,0,0,0,0,2,0.0,C,3,0,0,0,0,0,0.0,A,3,0,0,0,0,2,0.0
0.5,O0000,2,0.0,0.0,0.0,0.0,,0,0,1,58,S1,25.0,0,0,0,0,2,0,8000,100,2,0,19,0,,0.0,0.0,0.0,0.0,X,3,0,0,0,0,1,0.0,Y,3,0,0,0,0,1,0.0,Z,3,0,0,0,0,1,0.0,C,3,0,0,0,0,2,0.0,A,3,0,0,0,0,1,0.0
0.6,O0000,2,0.0,0.0,0.0,0.0,,0,0,1,58,S1,25.0,0,0,0,0,2,0,8000,100,0,0,19,0,,0.0,0.0,0.0,0.0,X,3,0,0,0,0,0,0.0,Y,3,0,0,0,0,0,0.0,Z,3,0,0,0,0,2,0.0,C,3,0,0,0,0,2,0.0,A,3,0,0,0,0,0,0.0
0.7,O0000,2,0.0,0.0,0.0,0.0,,0,0,1,58,S1,25.0,0,0,0,0,2,0,8000,100,1,0,19,0,,0.0,0.0,0.0,0.0,X,3,0,0,0,0,2,0.0,Y,3,0,0,0,0,2,0.0,Z,3,0,0,0,0,2,0.0,C,3,0,0,0,0,1,0.0,A,3,0,0,0,0,0,0.0
0.8,O0000,2,0.0,0.0,0.0,0.0,,0,0,1,58,S1,25.0,0,0,0,0,2,0,8000,100,3,0,19,0,,0.0,0.0,0.0,0.0,X,3,0,0,0,0,2,0.0,Y,3,0,0,0,0,1,0.0,Z,3,0,0,0,0,0,0.0,C,3,0,0,0,0,2,0.0,A,3,0,0,0,0,0,0.0
0.9,O0000,2,0.0,0.0,0.0,0.0,,0,0,1,58,S1,25.0,0,0,0,0,2,0,8000,100,2,0,19,0,,0.0,0.0,0.0,0.0,X,3,0,0,0,0,2,0.0,Y,3,0,0,0,0,1,0.0,Z,3,0,0,0,0,2,0.0,C,3,0,0,0,0,2,0.0,A,3,0,0,0,0,2,0.0
